launch_id,company,product_family,product_name,date,canonical_url,notes
apple-ipod-shuffle-1,Apple,iPod,iPod Shuffle (1st gen),2005-01-11,https://www.apple.com/pr/library/2005/01/11Apple-Introduces-iPod-shuffle.html,WAYBACK likely needed
apple-ipod-mini-2,Apple,iPod,iPod Mini (2nd gen),2005-02-23,https://www.apple.com/pr/library/2005/02/23Apple-Introduces-Updated-iPod-mini-Family.html,WAYBACK
apple-ipod-nano-1,Apple,iPod,iPod Nano (1st gen),2005-09-07,https://www.apple.com/pr/library/2005/09/07Apple-Introduces-iPod-nano.html,WAYBACK
apple-ipod-video-5g,Apple,iPod,iPod (5th gen with video),2005-10-12,https://www.apple.com/pr/library/2005/10/12Apple-Unveils-the-New-iPod.html,WAYBACK
apple-ipod-hifi,Apple,iPod,iPod Hi-Fi,2006-02-28,https://www.apple.com/pr/library/2006/02/28Apple-Introduces-iPod-Hi-Fi.html,WAYBACK
apple-ipod-shuffle-2,Apple,iPod,iPod Shuffle (2nd gen),2006-09-12,https://www.apple.com/pr/library/2006/09/12Apple-Unveils-the-New-iPod-shuffle.html,WAYBACK
apple-ipod-nano-2,Apple,iPod,iPod Nano (2nd gen),2006-09-12,https://www.apple.com/pr/library/2006/09/12Apple-Unveils-New-Aluminum-Clad-iPod-nano-in-Five-Vibrant-Colors.html,WAYBACK
apple-ipod-touch-1,Apple,iPod,iPod Touch (1st gen),2007-09-05,https://www.apple.com/pr/library/2007/09/05Apple-Introduces-iPod-touch.html,WAYBACK
apple-ipod-classic,Apple,iPod,iPod Classic,2007-09-05,https://www.apple.com/pr/library/2007/09/05The-New-iPod-classic-160GB.html,WAYBACK
apple-ipod-nano-3,Apple,iPod,iPod Nano (3rd gen / fat),2007-09-05,https://www.apple.com/pr/library/2007/09/05Apple-Unveils-New-iPod-nano-with-Video-Playback.html,WAYBACK
apple-ipod-nano-4,Apple,iPod,iPod Nano (4th gen),2008-09-09,https://www.apple.com/pr/library/2008/09/09Apple-Introduces-New-iPod-nano.html,WAYBACK
apple-ipod-touch-2,Apple,iPod,iPod Touch (2nd gen),2008-09-09,https://www.apple.com/pr/library/2008/09/09Apple-Introduces-New-iPod-touch.html,WAYBACK
apple-ipod-nano-5,Apple,iPod,iPod Nano (5th gen with camera),2009-09-09,https://www.apple.com/pr/library/2009/09/09Apple-Unveils-New-iPod-nano-with-Built-in-Video-Camera.html,WAYBACK
apple-ipod-touch-3,Apple,iPod,iPod Touch (3rd gen),2009-09-09,https://www.apple.com/pr/library/2009/09/09Apple-Introduces-New-iPod-touch.html,WAYBACK
apple-ipod-nano-6,Apple,iPod,iPod Nano (6th gen square),2010-09-01,https://www.apple.com/pr/library/2010/09/01Apple-Unveils-New-iPod-nano-with-Multi-Touch-Interface.html,WAYBACK
apple-ipod-touch-4,Apple,iPod,iPod Touch (4th gen),2010-09-01,https://www.apple.com/pr/library/2010/09/01Apple-Introduces-New-iPod-touch.html,WAYBACK
apple-ipod-nano-7,Apple,iPod,iPod Nano (7th gen),2012-09-12,https://www.apple.com/pr/library/2012/09/12Apple-Introduces-Completely-Redesigned-iPod-nano-Lineup.html,WAYBACK
apple-ipod-touch-5,Apple,iPod,iPod Touch (5th gen),2012-09-12,https://www.apple.com/pr/library/2012/09/12Apple-Introduces-Completely-Redesigned-iPod-touch.html,WAYBACK
apple-ipod-touch-6,Apple,iPod,iPod Touch (6th gen),2015-07-15,https://www.apple.com/newsroom/2015/07/15Apple-Introduces-New-iPod-touch/,
apple-ipod-touch-7,Apple,iPod,iPod Touch (7th gen),2019-05-28,https://www.apple.com/newsroom/2019/05/new-ipod-touch-delivers-even-greater-performance/,
apple-iphone-1,Apple,iPhone,iPhone (original),2007-01-09,https://www.apple.com/pr/library/2007/01/09Apple-Reinvents-the-Phone-with-iPhone.html,WAYBACK
apple-iphone-3g,Apple,iPhone,iPhone 3G,2008-06-09,https://www.apple.com/pr/library/2008/06/09Apple-Introduces-the-New-iPhone-3G.html,WAYBACK
apple-iphone-3gs,Apple,iPhone,iPhone 3GS,2009-06-08,https://www.apple.com/pr/library/2009/06/08Apple-Announces-the-New-iPhone-3GS-The-Fastest-Most-Powerful-iPhone-Yet.html,WAYBACK
apple-iphone-4,Apple,iPhone,iPhone 4,2010-06-07,https://www.apple.com/pr/library/2010/06/07Apple-Presents-iPhone-4.html,WAYBACK
apple-iphone-4s,Apple,iPhone,iPhone 4S,2011-10-04,https://www.apple.com/pr/library/2011/10/04Apple-Launches-iPhone-4S-iOS-5-iCloud.html,WAYBACK
apple-iphone-5,Apple,iPhone,iPhone 5,2012-09-12,https://www.apple.com/pr/library/2012/09/12Apple-Introduces-iPhone-5.html,WAYBACK
apple-iphone-5s-5c,Apple,iPhone,iPhone 5s + 5c,2013-09-10,https://www.apple.com/pr/library/2013/09/10Apple-Announces-iPhone-5s-The-Most-Forward-Thinking-Smartphone-Yet.html,WAYBACK
apple-iphone-6,Apple,iPhone,iPhone 6 + 6 Plus,2014-09-09,https://www.apple.com/pr/library/2014/09/09Apple-Announces-iPhone-6-iPhone-6-Plus-The-Biggest-Advancements-in-iPhone-History.html,WAYBACK
apple-iphone-6s,Apple,iPhone,iPhone 6s + 6s Plus,2015-09-09,https://www.apple.com/newsroom/2015/09/09Apple-Introduces-iPhone-6s-iPhone-6s-Plus/,
apple-iphone-se-1,Apple,iPhone,iPhone SE (1st gen),2016-03-21,https://www.apple.com/newsroom/2016/03/21Apple-Introduces-iPhone-SE-The-Most-Powerful-Phone-with-a-Four-inch-Display/,
apple-iphone-7,Apple,iPhone,iPhone 7 + 7 Plus,2016-09-07,https://www.apple.com/newsroom/2016/09/apple-introduces-iphone-7-iphone-7-plus/,
apple-iphone-8,Apple,iPhone,iPhone 8 + 8 Plus,2017-09-12,https://www.apple.com/newsroom/2017/09/the-future-is-here-iphone-x/,
apple-iphone-x,Apple,iPhone,iPhone X,2017-09-12,https://www.apple.com/newsroom/2017/09/the-future-is-here-iphone-x/,
apple-iphone-xs,Apple,iPhone,iPhone XS + XS Max,2018-09-12,https://www.apple.com/newsroom/2018/09/the-new-iphone-xs-and-iphone-xs-max-bring-the-best-and-biggest-displays-to-iphone/,
apple-iphone-xr,Apple,iPhone,iPhone XR,2018-09-12,https://www.apple.com/newsroom/2018/09/iphone-xr-brings-breakthrough-technologies-to-more-customers/,
apple-iphone-11,Apple,iPhone,iPhone 11,2019-09-10,https://www.apple.com/newsroom/2019/09/new-dual-camera-iphone-11-supercharges-the-most-popular-camera-in-the-world/,
apple-iphone-11-pro,Apple,iPhone,iPhone 11 Pro + Pro Max,2019-09-10,https://www.apple.com/newsroom/2019/09/apple-unveils-iphone-11-pro-and-iphone-11-pro-max-the-most-advanced-iphones-ever/,
apple-iphone-se-2,Apple,iPhone,iPhone SE (2nd gen),2020-04-15,https://www.apple.com/newsroom/2020/04/iphone-se-a-powerful-new-smartphone-in-a-popular-design/,
apple-iphone-12,Apple,iPhone,iPhone 12 + 12 Pro,2020-10-13,https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-and-iphone-12-mini-a-new-era-for-iphone-with-5g/,
apple-iphone-13,Apple,iPhone,iPhone 13 + 13 Pro,2021-09-14,https://www.apple.com/newsroom/2021/09/apple-introduces-iphone-13-pro-and-iphone-13-pro-max/,
apple-iphone-se-3,Apple,iPhone,iPhone SE (3rd gen),2022-03-08,https://www.apple.com/newsroom/2022/03/apple-unveils-new-iphone-se-with-5g-and-the-powerful-a15-bionic-chip/,
apple-iphone-14,Apple,iPhone,iPhone 14 + 14 Plus,2022-09-07,https://www.apple.com/newsroom/2022/09/apple-debuts-iphone-14-and-iphone-14-plus/,
apple-iphone-14-pro,Apple,iPhone,iPhone 14 Pro + Pro Max,2022-09-07,https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-pro-and-iphone-14-pro-max/,
apple-iphone-15,Apple,iPhone,iPhone 15 + 15 Plus,2023-09-12,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/,
apple-iphone-15-pro,Apple,iPhone,iPhone 15 Pro + Pro Max,2023-09-12,https://www.apple.com/newsroom/2023/09/apple-unveils-iphone-15-pro-and-iphone-15-pro-max/,
apple-iphone-16,Apple,iPhone,iPhone 16 + 16 Plus,2024-09-09,https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-and-iphone-16-plus/,
apple-iphone-16-pro,Apple,iPhone,iPhone 16 Pro + Pro Max,2024-09-09,https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-pro-and-iphone-16-pro-max/,
apple-iphone-16e,Apple,iPhone,iPhone 16e,2025-02-19,https://www.apple.com/newsroom/2025/02/apple-introduces-iphone-16e-a-powerful-new-member-of-the-iphone-16-family/,
apple-iphone-17,Apple,iPhone,iPhone 17,2025-09-09,https://www.apple.com/newsroom/2025/09/apple-introduces-iphone-17/,Approx URL - verify
apple-iphone-17-pro,Apple,iPhone,iPhone 17 Pro,2025-09-09,https://www.apple.com/newsroom/2025/09/apple-introduces-iphone-17-pro/,Approx URL - verify
apple-ipad-1,Apple,iPad,iPad (1st gen),2010-01-27,https://www.apple.com/pr/library/2010/01/27Apple-Launches-iPad.html,WAYBACK
apple-ipad-2,Apple,iPad,iPad 2,2011-03-02,https://www.apple.com/pr/library/2011/03/02Apple-Launches-iPad-2.html,WAYBACK
apple-ipad-3,Apple,iPad,iPad (3rd gen / new iPad),2012-03-07,https://www.apple.com/pr/library/2012/03/07Apple-Launches-New-iPad.html,WAYBACK
apple-ipad-4,Apple,iPad,iPad (4th gen),2012-10-23,https://www.apple.com/pr/library/2012/10/23Apple-Introduces-iPad-mini.html,WAYBACK
apple-ipad-mini-1,Apple,iPad,iPad Mini (1st gen),2012-10-23,https://www.apple.com/pr/library/2012/10/23Apple-Introduces-iPad-mini.html,WAYBACK
apple-ipad-air-1,Apple,iPad,iPad Air,2013-10-22,https://www.apple.com/pr/library/2013/10/22Apple-Introduces-iPad-Air-Dramatically-Thinner-Lighter-More-Powerful-iPad.html,WAYBACK
apple-ipad-mini-2,Apple,iPad,iPad Mini 2 (Retina),2013-10-22,https://www.apple.com/pr/library/2013/10/22Apple-Introduces-iPad-mini-with-Retina-Display.html,WAYBACK
apple-ipad-air-2,Apple,iPad,iPad Air 2,2014-10-16,https://www.apple.com/pr/library/2014/10/16Apple-Introduces-iPad-Air-2-The-Thinnest-Most-Powerful-iPad-Ever.html,WAYBACK
apple-ipad-mini-3,Apple,iPad,iPad Mini 3,2014-10-16,https://www.apple.com/pr/library/2014/10/16Apple-Introduces-iPad-mini-3.html,WAYBACK
apple-ipad-pro-12-9-1,Apple,iPad,iPad Pro 12.9 (1st gen),2015-09-09,https://www.apple.com/newsroom/2015/09/09Apple-Introduces-iPad-Pro-Featuring-Epic-12-9-inch-Retina-Display/,
apple-ipad-mini-4,Apple,iPad,iPad Mini 4,2015-09-09,https://www.apple.com/newsroom/2015/09/09Apple-Introduces-iPad-mini-4/,
apple-ipad-pro-9-7,Apple,iPad,iPad Pro 9.7,2016-03-21,https://www.apple.com/newsroom/2016/03/21Apple-Introduces-9-7-inch-iPad-Pro/,
apple-ipad-5,Apple,iPad,iPad (5th gen),2017-03-21,https://www.apple.com/newsroom/2017/03/new-9_7-inch-ipad-stunning-retina-display-amazing-performance-incredible-price/,
apple-ipad-pro-10-5,Apple,iPad,iPad Pro 10.5 + 12.9 (2nd gen),2017-06-05,https://www.apple.com/newsroom/2017/06/apple-introduces-the-ultimate-creative-tool-with-all-new-ipad-pro/,
apple-ipad-6,Apple,iPad,iPad (6th gen),2018-03-27,https://www.apple.com/newsroom/2018/03/new-9_7-inch-ipad-with-apple-pencil-support-delivers-power-and-capability/,
apple-ipad-pro-2018,Apple,iPad,iPad Pro (2018 redesign),2018-10-30,https://www.apple.com/newsroom/2018/10/new-ipad-pro-with-all-screen-design-is-the-most-advanced-most-powerful-ipad-ever/,
apple-ipad-air-3,Apple,iPad,iPad Air (3rd gen),2019-03-18,https://www.apple.com/newsroom/2019/03/apple-introduces-powerful-new-ipad-air-and-ipad-mini/,
apple-ipad-mini-5,Apple,iPad,iPad Mini (5th gen),2019-03-18,https://www.apple.com/newsroom/2019/03/apple-introduces-powerful-new-ipad-air-and-ipad-mini/,
apple-ipad-7,Apple,iPad,iPad (7th gen),2019-09-10,https://www.apple.com/newsroom/2019/09/new-ipad-features-bigger-10_2-inch-retina-display-and-supports-full-size-smart-keyboard/,
apple-ipad-pro-2020,Apple,iPad,iPad Pro (2020),2020-03-18,https://www.apple.com/newsroom/2020/03/apple-unveils-new-ipad-pro-with-lidar-scanner-and-trackpad-support-in-ipados/,
apple-ipad-8,Apple,iPad,iPad (8th gen),2020-09-15,https://www.apple.com/newsroom/2020/09/apple-introduces-eighth-generation-ipad-with-a-huge-jump-in-performance/,
apple-ipad-air-4,Apple,iPad,iPad Air (4th gen),2020-09-15,https://www.apple.com/newsroom/2020/09/apple-unveils-all-new-ipad-air-with-a14-bionic-apples-most-advanced-chip/,
apple-ipad-pro-m1,Apple,iPad,iPad Pro (M1),2021-04-20,https://www.apple.com/newsroom/2021/04/apple-unveils-new-ipad-pro-with-breakthrough-m1-chip-and-stunning-liquid-retina-xdr-display/,
apple-ipad-9,Apple,iPad,iPad (9th gen),2021-09-14,https://www.apple.com/newsroom/2021/09/apple-introduces-the-new-more-powerful-ipad/,
apple-ipad-mini-6,Apple,iPad,iPad Mini (6th gen),2021-09-14,https://www.apple.com/newsroom/2021/09/new-ipad-mini-unleashes-creativity-with-massive-redesign/,
apple-ipad-air-5,Apple,iPad,iPad Air (5th gen M1),2022-03-08,https://www.apple.com/newsroom/2022/03/the-new-ipad-air-makes-the-leap-to-m1/,
apple-ipad-10,Apple,iPad,iPad (10th gen),2022-10-18,https://www.apple.com/newsroom/2022/10/apple-introduces-redesigned-ipad-and-vibrant-new-colors/,
apple-ipad-pro-m2,Apple,iPad,iPad Pro (M2),2022-10-18,https://www.apple.com/newsroom/2022/10/apple-unveils-new-ipad-pro-supercharged-by-the-apple-m2-chip/,
apple-ipad-pro-m4,Apple,iPad,iPad Pro (M4 + OLED),2024-05-07,https://www.apple.com/newsroom/2024/05/apple-unveils-stunning-new-ipad-pro-with-m4-chip-and-apple-pencil-pro/,
apple-ipad-air-m2,Apple,iPad,iPad Air (M2),2024-05-07,https://www.apple.com/newsroom/2024/05/apple-introduces-powerful-new-ipad-air-with-m2-chip-in-two-sizes/,
apple-ipad-mini-7,Apple,iPad,iPad Mini (A17 Pro),2024-10-15,https://www.apple.com/newsroom/2024/10/apple-introduces-powerful-new-ipad-mini-built-for-apple-intelligence/,
apple-ipad-11,Apple,iPad,iPad (11th gen / A16),2025-03-04,https://www.apple.com/newsroom/2025/03/apple-introduces-ipad-with-a16/,Approx URL - verify
apple-ipad-air-m3,Apple,iPad,iPad Air (M3),2025-03-04,https://www.apple.com/newsroom/2025/03/apple-introduces-ipad-air-with-m3/,Approx URL - verify
