launch_id,status,http_code,url_used,has_wayback,note
openai-gpt-4,missing,403,https://openai.com/index/gpt-4-research/,no,live_failed code=403
openai-gpt-4-turbo,missing,403,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,no,live_failed code=403
openai-dalle-3,missing,403,https://openai.com/index/dall-e-3/,no,live_failed code=403
openai-sora,missing,403,https://openai.com/index/sora/,no,live_failed code=403
openai-chatgpt,missing,403,https://openai.com/index/chatgpt/,no,live_failed code=403
openai-gpt-3-5-turbo-api,missing,403,https://openai.com/index/introducing-chatgpt-and-whisper-apis/,no,live_failed code=403
openai-gpt-4o,missing,403,https://openai.com/index/hello-gpt-4o/,no,live_failed code=403
openai-gpt-4o-mini,missing,403,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,no,live_failed code=403
openai-o1-preview,missing,403,https://openai.com/index/learning-to-reason-with-llms/,no,live_failed code=403
openai-o3-o4mini,missing,403,https://openai.com/index/introducing-o3-and-o4-mini/,no,live_failed code=403
openai-o3-mini,missing,403,https://openai.com/index/openai-o3-mini/,no,live_failed code=403
openai-gpt-4-1,missing,403,https://openai.com/index/gpt-4-1/,no,live_failed code=403
openai-o1,missing,403,https://openai.com/index/introducing-chatgpt-pro/,no,live_failed code=403
openai-gpt-4-5,missing,403,https://openai.com/index/introducing-gpt-4-5/,no,live_failed code=403
openai-o3-announcement,missing,403,https://openai.com/index/openai-o3-mini/,no,live_failed code=403
openai-sora-launch,missing,403,https://openai.com/index/sora-is-here/,no,live_failed code=403
openai-gpt-5,missing,403,https://openai.com/index/introducing-gpt-5/,no,live_failed code=403
openai-gpt-5-1,missing,403,https://openai.com/index/gpt-5-1/,no,live_failed code=403
anthropic-claude-1,missing,403,https://www.anthropic.com/news/introducing-claude,no,live_failed code=403
anthropic-claude-2,missing,403,https://www.anthropic.com/news/claude-2,no,live_failed code=403
anthropic-claude-instant-1-2,missing,403,https://www.anthropic.com/news/releasing-claude-instant-1-2,no,live_failed code=403
anthropic-claude-3,missing,403,https://www.anthropic.com/news/claude-3-family,no,live_failed code=403
